user_id	city_id	application_type	application_term	application_limit	op_type	col_type	user_loan_experience	user_has_car	user_social_security	qid77	cash_receipts	user_income_by_card	user_work_period	user_age	company_type	col_value	com_op_period	com_month_flow	qid123	qid122	qid135	qid139	qid93	qid57	cash_settlement	user_nationality	qid145	house_payment_records	car_value	qid137	qid133	qid140	qid78	loan_term	qid79	col_has_mortgage	qid146	reapply_count	loan_limit_n	op_type_n	col_type_n	user_loan_experience_n	user_has_car_n	user_social_security_n	qid77_n	cash_receipts_n	user_income_by_card_n	user_work_period_n	user_age_n	company_type_n	col_value_n	com_op_period_n	com_month_flow_n	qid123_n	qid122_n	qid135_n	qid139_n	qid93_n	qid57_n	user_nationality_n	qid145_n	house_payment_records_n	car_value_n	qid133_n	qid140_n	qid78_n	loan_description_n	loan_term_n	qid79_n	car_use_requirement_n	col_has_mortgage_n	qid146_n	product_type	apply_from	platform	spam_score	mobile_verify	source	medium	is_paid	quality	mobile_source	mobile_medium	mobile_is_paid	mobile_quality	standard_type	guarantee_type	bank_id
0ce43248494a382e94c4386eb4db847a	6512bd43d9caa6e02c990b0a82652dca	1	36	20																																				0																																	1	5	1	0	0	8	57	0	1	221	231	0	1	1	1	7a614fd06c325499f1680b9896beedeb
107df64d8f309b40e13d7264b0438c9d	6512bd43d9caa6e02c990b0a82652dca	2	36	10																																																																					2	5	1	0	0	8	57	0	1	221	231	0	1	1	2	d96409bf894217686ba124d7356686c9
daa121c0c80bebd8f436f3659cca13a2	6512bd43d9caa6e02c990b0a82652dca	2	36	3	3																																			0	0	0					0	0																									2	345	1	0	0	58	123	0	0	151	231	0	1	1	2	d96409bf894217686ba124d7356686c9
ff0982ef3da25530b577eea9a9238334	6512bd43d9caa6e02c990b0a82652dca	2	24	5	3																																			0																																	2	254	1	0	0	8	239	0	1	210	231	0	1	1	2	d96409bf894217686ba124d7356686c9
b7bee90ce35a4b9bf81bf8e01da22543	6512bd43d9caa6e02c990b0a82652dca	2	12	10	3																																			1		0					0					0																					2	5	1	0	0	8	57	0	1	221	231	0	1	1	2	fe131d7f5a6b38b23cc967316c13dae2
4087fc0ac6fef13c499ce108e10f0aaf	6512bd43d9caa6e02c990b0a82652dca	1	60	10	3																																			0																																	1	5	2	0	0	77	200			167	189			1	1	63923f49e5241343aa7acb6a06a751e7
e1352d8043cbb1cb07ac5506e23ca5a1	6512bd43d9caa6e02c990b0a82652dca	2	24	2																																																																					2	5	0	0	0	77	200			167	189			1	2	f718499c1c8cef6730f9fd03c8125cab
018b7a2032faaba0ba23890ca681ba74	6512bd43d9caa6e02c990b0a82652dca	1	12	10																																				0	0	0										0	0						0														2	270	1	0	0	64	202	0	1	113	231	0	1	1	2	8c19f571e251e61cb8dd3612f26d5ecf
22d515fb5dfcc606760ff9859f7de7f3	6512bd43d9caa6e02c990b0a82652dca	1	12	100																																				0																																	3	191	1	0	0	2	57	0	1	21	191	0	1	1	3	a4f23670e1833f3fdb077ca70bbd5d66
22d515fb5dfcc606760ff9859f7de7f3	6512bd43d9caa6e02c990b0a82652dca	1	12	100																																				0																																	3	191	1	0	0	2	57	0	1	21	191	0	1	1	3	a4f23670e1833f3fdb077ca70bbd5d66
22d515fb5dfcc606760ff9859f7de7f3	6512bd43d9caa6e02c990b0a82652dca	1	12	50	1																																			0																																	3	191	1	0	0	2	57	0	1	21	191	0	1	1	3	a4f23670e1833f3fdb077ca70bbd5d66
22d515fb5dfcc606760ff9859f7de7f3	6512bd43d9caa6e02c990b0a82652dca	1	6	50	1																																			0																																	3	191	1	0	0	2	57	0	1	21	191	0	1	1	3	a4f23670e1833f3fdb077ca70bbd5d66
80ed32d6ac52bbd62597d69cb154b5f1	6512bd43d9caa6e02c990b0a82652dca	2	12	10																																																																					2	5	1	0	0	8	57	0	1	221	231	0	1	1	2	fe131d7f5a6b38b23cc967316c13dae2
8e802c7bc311225000b8e3e9d6648a82	6512bd43d9caa6e02c990b0a82652dca	2	12	10																																																																					2	5	1	0	0	8	57	0	1	221	231	0	1	1	2	fe131d7f5a6b38b23cc967316c13dae2
018b7a2032faaba0ba23890ca681ba74	6512bd43d9caa6e02c990b0a82652dca	1	12	10																																				0	0	0										0	0						0														2	270	1	0	0	64	202	0	1	113	231	0	1	1	2	8c19f571e251e61cb8dd3612f26d5ecf
6e80e194367895db6126738540fa2bd6	6512bd43d9caa6e02c990b0a82652dca	2	12	10	3	0	1					5999	1																											0	0	0					0	0																									2	340	1	0	0	99	63	0	1	151	175	0	1	1	2	fe131d7f5a6b38b23cc967316c13dae2
6e80e194367895db6126738540fa2bd6	6512bd43d9caa6e02c990b0a82652dca	2	12	10	3	0	1					5999	1																											0	0	0					0	0																									2	340	1	0	0	99	63	0	1	151	175	0	1	1	2	7a614fd06c325499f1680b9896beedeb
a2acf21d635a3bfe72d88654b2f8d328	6512bd43d9caa6e02c990b0a82652dca	2	12	12	3																																			0																																	2	52	1	0	0	2	1	0	1	167	189			1	2	502e4a16930e414107ee22b6198c578f
efd1d82208ed26f88c2c19ccb6051a92	6512bd43d9caa6e02c990b0a82652dca	1	12	20	2	0	0					20000	1				5																							0	0	1					1	0				0																					3	5	1	0	0	8	57	0	1	221	231	0	1	1	3	a4f23670e1833f3fdb077ca70bbd5d66
efaa0b3c1085bc5548c55ddcda76c11c	6512bd43d9caa6e02c990b0a82652dca	2	12	2	3	0	1					3999	1				1																							0	0	1					0	0				1																					2	5	1	0	0	8	57	0	1	221	231	0	1	1	2	502e4a16930e414107ee22b6198c578f
1bd6431ff16b247b031ab8d1afb71c91	6512bd43d9caa6e02c990b0a82652dca	1	12	10	2		0						1				2																							0		0						0				0																					3	345	1	0	0	54	147	0	0	167	189			1	3	a4f23670e1833f3fdb077ca70bbd5d66
1bd6431ff16b247b031ab8d1afb71c91	6512bd43d9caa6e02c990b0a82652dca	1	12	10													2																							0		0						0				0																					2	345	1	0	0	54	147	0	0	167	189			1	2	502e4a16930e414107ee22b6198c578f
71eeca609e09d81b10f669ce5ca65f82	6512bd43d9caa6e02c990b0a82652dca	2	30	10																																																																					2	253	1	0	0	99	256	0	1	167	189			1	2	d96409bf894217686ba124d7356686c9
fbd6ace78e04f51c1db7d41e56476cc4	6512bd43d9caa6e02c990b0a82652dca	5	24	3	3	0	1					2999	1																											0	0	0					0	0																									2	5	1	0	0	8	57	0	1	221	231	0	1	1	2	d96409bf894217686ba124d7356686c9
